product_id,name,category,unit_price,cost_price,supplier_id,stock_quantity,weight_kg,is_active
P001,Basic Widget,Hardware,29.99,12.50,S01,500,0.25,true
P002,Premium Gadget,Electronics,149.99,75.00,S02,150,0.80,true
P003,Economy Pack,Consumables,9.99,3.50,S01,2000,0.10,true
P004,Enterprise Suite,Software,299.99,50.00,S03,999,0.00,true
P005,Standard Module,Hardware,49.99,22.00,S01,300,0.40,true
P006,Flagship Device,Electronics,599.99,280.00,S02,50,1.20,true
P007,Starter Kit,Accessories,19.99,7.50,S04,800,0.15,true
P008,Pro Bundle,Software,89.99,20.00,S03,999,0.00,true
P009,Advanced System,Electronics,199.99,95.00,S02,120,0.95,true
P010,Value Pack,Consumables,14.99,5.00,S01,1500,0.12,true
P011,Ultimate Edition,Software,449.99,80.00,S03,999,0.00,true
P012,Compact Unit,Hardware,34.99,14.00,S01,400,0.20,true
P013,Performance Kit,Accessories,79.99,32.00,S04,250,0.60,true
P014,Professional Tool,Hardware,249.99,110.00,S05,100,1.50,true
P015,Mid-Range Option,Electronics,129.99,60.00,S02,200,0.70,true
P016,Budget Choice,Accessories,24.99,8.50,S04,600,0.18,true
P017,High-End System,Electronics,399.99,185.00,S02,75,1.10,true
P018,Portable Device,Hardware,74.99,30.00,S05,350,0.35,true
P019,Subscription Plus,Software,179.99,30.00,S03,999,0.00,true
P020,Combo Pack,Accessories,54.99,20.00,S04,450,0.45,true
P021,Legacy Model,Electronics,79.99,40.00,S02,30,0.85,false
P022,Discontinued Item,Hardware,19.99,10.00,S01,0,0.20,false
P023,Refurbished Unit,Electronics,89.99,55.00,S06,25,0.80,true
P024,Bulk Saver,Consumables,7.99,2.50,S01,3000,0.08,true
P025,Sample Pack,Consumables,4.99,1.50,S01,5000,0.05,true
P026,Enterprise License,Software,999.99,150.00,S03,999,0.00,true
P027,Training Package,Software,199.99,40.00,S03,999,0.00,true
P028,Support Contract,Software,349.99,60.00,S03,999,0.00,true
P029,Extended Warranty,Services,99.99,10.00,S07,999,0.00,true
P030,Installation Kit,Accessories,39.99,15.00,S04,200,0.55,true
